time,temp_air,temp_water,humidity,ph,light,salinity,do,co2_air,set_temp_air,set_ph,set_oxygen,target_growth,target_ph,tank_vol,building_vol,growth_len,device_temp_air,device_temp_water,device_light,device_ph_injection,device_nitrogen,device_oxygen,expected_ph_duration,expected_growth,expected_harvest_time
2024-01-01T00:05:00+09:00,24.98,19.95,59.5,6.96,655.96,0.91,7.98,392.92,23.93,6.94,8.09,4.78,7.05,462.5,2592.19,51.47,0,1,0,0,1,1,30.66,2.85,2024-01-12T10:38:36+09:00
2024-01-01T00:05:30+09:00,24.93,20.01,59.18,6.97,682.51,0.91,8.01,394.84,23.86,6.94,8.07,4.9,7.09,462.06,2612.6,50.98,0,1,0,0,1,0,30.33,2.81,2024-01-12T05:07:54+09:00
2024-01-01T00:06:00+09:00,24.8,19.99,59.05,6.97,657.01,0.92,7.95,398.66,23.86,6.95,8.15,4.84,7.04,453.12,2591.9,51.16,1,0,0,1,0,0,30.6,2.72,2024-01-13T01:03:36+09:00
2024-01-01T00:06:30+09:00,24.89,20.01,58.68,6.99,656.19,0.92,8.11,392.92,23.86,6.94,8.16,5.03,7.05,461.36,2633.01,50.45,0,0,0,1,0,1,30.51,2.78,2024-01-13T05:37:42+09:00
2024-01-01T00:07:00+09:00,24.99,20.06,58.79,7.0,674.68,0.97,8.02,395.49,23.9,6.96,8.2,4.96,7.06,468.21,2622.06,50.77,0,1,0,0,0,1,30.0,2.78,2024-01-13T03:28:36+09:00
2024-01-01T00:07:30+09:00,24.99,19.98,59.15,6.99,662.2,0.98,7.99,389.27,23.82,6.99,8.3,5.05,7.09,458.23,2658.13,50.1,0,0,0,1,0,1,30.48,2.78,2024-01-12T07:33:54+09:00
2024-01-01T00:08:00+09:00,24.95,20.05,59.55,6.99,659.79,0.97,8.09,393.6,23.85,7.01,8.36,4.91,7.08,462.31,2639.14,50.22,0,1,1,1,0,0,30.55,2.75,2024-01-12T12:22:24+09:00
2024-01-01T00:08:30+09:00,24.78,20.04,60.03,7.0,676.9,1.02,8.14,395.54,23.88,7.03,8.34,5.05,7.11,459.36,2657.45,50.63,0,0,1,1,0,1,29.72,2.65,2024-01-12T14:32:30+09:00
2024-01-01T00:09:00+09:00,24.91,20.08,59.75,6.99,665.31,0.99,8.09,401.09,23.97,7.02,8.33,5.24,7.14,468.37,2634.11,50.88,0,0,1,0,1,1,29.73,2.72,2024-01-12T12:37:48+09:00
2024-01-01T00:09:30+09:00,24.93,20.03,59.37,6.96,642.68,1.03,8.14,403.68,23.92,7.0,8.35,5.11,7.1,469.24,2614.67,51.36,1,1,0,1,1,1,29.7,2.8,2024-01-13T11:26:18+09:00
2024-01-01T00:10:00+09:00,24.92,20.08,59.58,6.96,666.9,1.04,8.0,411.35,23.83,7.03,8.43,4.93,7.09,474.79,2609.44,51.4,1,0,0,1,0,1,29.37,2.81,2024-01-13T05:41:12+09:00
2024-01-01T00:10:30+09:00,24.77,20.17,59.67,6.91,695.33,1.04,7.9,413.28,23.74,7.01,8.44,4.77,7.12,484.41,2602.6,51.47,1,0,1,0,1,1,29.51,2.86,2024-01-12T14:20:06+09:00
2024-01-01T00:11:00+09:00,24.58,20.08,59.72,6.9,712.41,1.05,7.82,404.05,23.68,6.99,8.36,4.58,7.08,486.96,2590.01,51.49,0,1,0,1,1,1,29.81,2.88,2024-01-12T22:44:36+09:00
2024-01-01T00:11:30+09:00,24.47,20.13,59.51,6.92,702.52,1.09,7.84,399.55,23.76,7.01,8.31,4.59,7.04,484.57,2629.18,51.72,1,0,0,1,0,1,29.63,2.93,2024-01-12T15:33:06+09:00
2024-01-01T00:12:00+09:00,24.66,20.03,59.96,6.93,731.22,1.04,7.71,397.94,23.74,6.99,8.33,4.72,7.04,487.08,2584.03,52.34,0,1,0,0,1,0,29.53,3.0,2024-01-13T14:21:36+09:00
2024-01-01T00:12:30+09:00,24.53,20.02,60.01,6.95,747.8,1.05,7.51,391.13,23.74,7.0,8.24,4.75,7.09,480.47,2609.69,53.03,1,0,0,1,0,0,30.49,2.94,2024-01-13T17:29:18+09:00
2024-01-01T00:13:00+09:00,24.54,19.96,59.53,6.97,769.53,1.02,7.68,395.26,23.67,6.99,8.21,4.74,7.12,485.21,2643.8,52.07,1,1,0,0,0,1,29.76,2.93,2024-01-12T23:44:12+09:00
2024-01-01T00:13:30+09:00,24.71,19.9,59.55,6.98,783.15,1.06,7.62,386.79,23.76,7.0,8.3,4.61,7.15,493.67,2641.31,51.24,0,1,0,1,1,1,29.41,2.99,2024-01-12T20:08:42+09:00
2024-01-01T00:14:00+09:00,24.54,19.96,59.45,6.99,799.74,1.08,7.75,382.41,23.73,6.99,8.37,4.57,7.14,501.44,2665.34,50.91,1,0,0,1,0,0,29.88,3.01,2024-01-13T05:16:24+09:00
2024-01-01T00:14:30+09:00,24.4,20.03,59.54,6.96,823.77,1.11,7.64,384.1,23.71,6.97,8.37,4.53,7.16,503.28,2703.97,50.96,0,1,1,0,0,0,29.97,3.1,2024-01-14T03:21:42+09:00
2024-01-01T00:15:00+09:00,24.5,20.11,59.08,7.0,809.48,1.07,7.62,393.89,23.67,6.98,8.36,4.41,7.12,497.15,2732.87,51.52,1,1,1,1,0,0,30.12,3.09,2024-01-14T21:36:36+09:00
2024-01-01T00:15:30+09:00,24.56,20.07,58.74,7.04,826.57,1.07,7.45,384.49,23.7,6.96,8.34,4.45,7.15,506.03,2738.05,52.37,0,0,1,1,0,0,29.37,3.01,2024-01-14T20:39:30+09:00
2024-01-01T00:16:00+09:00,24.58,20.0,58.4,7.03,851.69,1.03,7.46,386.13,23.67,6.94,8.35,4.26,7.16,496.38,2763.1,52.86,1,0,1,0,1,1,29.87,3.01,2024-01-15T16:35:12+09:00
2024-01-01T00:16:30+09:00,24.64,20.09,58.27,7.0,848.39,0.98,7.28,390.92,23.65,6.92,8.4,4.24,7.2,490.93,2785.19,53.64,1,0,1,1,1,1,30.49,3.09,2024-01-16T00:30:54+09:00
2024-01-01T00:17:00+09:00,24.74,19.99,58.56,6.98,859.05,0.98,7.29,389.06,23.71,6.93,8.47,4.23,7.23,495.18,2801.46,54.42,1,0,0,0,0,0,30.76,3.14,2024-01-16T20:26:36+09:00
2024-01-01T00:17:30+09:00,24.66,19.93,58.26,6.97,854.81,0.99,7.23,398.36,23.71,6.93,8.46,4.03,7.25,504.05,2841.8,53.46,1,0,0,0,0,0,30.96,3.14,2024-01-17T12:31:54+09:00
2024-01-01T00:18:00+09:00,24.86,19.87,57.92,6.93,841.5,0.98,7.2,404.25,23.71,6.9,8.4,4.03,7.2,498.11,2879.54,53.98,0,0,0,1,1,0,31.83,3.1,2024-01-16T20:56:24+09:00
2024-01-01T00:18:30+09:00,24.78,19.86,57.98,6.96,811.62,0.93,7.22,404.86,23.62,6.88,8.32,4.06,7.19,500.29,2859.47,54.39,1,0,0,1,0,0,32.73,3.01,2024-01-16T19:16:06+09:00
2024-01-01T00:19:00+09:00,24.98,19.92,58.15,7.0,805.44,0.93,7.33,400.18,23.61,6.89,8.42,4.1,7.18,501.53,2845.92,54.36,1,0,0,0,0,1,32.79,2.95,2024-01-17T14:43:00+09:00
2024-01-01T00:19:30+09:00,24.83,19.84,58.52,6.98,823.35,0.94,7.52,397.95,23.68,6.89,8.48,4.15,7.15,505.55,2881.96,54.33,1,1,0,0,1,1,33.03,2.86,2024-01-18T02:00:18+09:00
2024-01-01T00:20:00+09:00,24.94,19.77,58.37,6.98,810.02,0.97,7.41,402.91,23.59,6.92,8.54,4.2,7.19,511.27,2833.35,55.23,1,0,1,0,1,0,33.77,2.79,2024-01-17T05:22:24+09:00
2024-01-01T00:20:30+09:00,24.84,19.72,58.31,7.0,787.2,0.93,7.3,401.58,23.62,6.94,8.53,4.02,7.23,515.1,2878.38,54.53,1,1,1,1,1,1,33.95,2.72,2024-01-17T03:42:06+09:00
2024-01-01T00:21:00+09:00,24.76,19.72,58.25,6.99,773.6,0.91,7.4,392.77,23.59,6.94,8.54,4.22,7.24,512.44,2921.3,55.17,0,1,0,1,1,0,33.48,2.64,2024-01-17T02:01:48+09:00
2024-01-01T00:21:30+09:00,24.78,19.81,57.85,7.01,788.23,0.89,7.2,389.38,23.64,6.92,8.46,4.02,7.27,513.16,2909.97,55.3,0,0,1,1,0,0,34.2,2.73,2024-01-17T20:02:18+09:00
2024-01-01T00:22:00+09:00,24.73,19.79,57.47,7.01,783.27,0.89,7.31,388.43,23.66,6.94,8.55,4.15,7.31,507.85,2862.88,55.48,1,1,0,1,1,1,34.52,2.81,2024-01-17T06:36:24+09:00
2024-01-01T00:22:30+09:00,24.7,19.75,57.0,7.05,756.28,0.84,7.47,394.79,23.59,6.94,8.51,3.95,7.36,510.26,2823.01,56.17,1,1,0,1,0,1,33.7,2.84,2024-01-16T19:34:30+09:00
2024-01-01T00:23:00+09:00,24.73,19.7,56.75,7.06,774.73,0.8,7.58,390.59,23.54,6.94,8.57,3.98,7.35,518.0,2805.02,56.23,1,1,1,0,1,1,32.89,2.9,2024-01-16T17:39:48+09:00
2024-01-01T00:23:30+09:00,24.76,19.73,56.39,7.11,791.09,0.82,7.68,383.51,23.59,6.95,8.61,4.1,7.4,524.94,2822.12,56.32,1,0,0,0,1,1,32.33,2.82,2024-01-15T21:16:18+09:00
2024-01-01T00:24:00+09:00,24.71,19.78,56.17,7.1,774.41,0.77,7.53,377.63,23.66,6.93,8.59,4.08,7.41,519.13,2793.31,56.16,0,1,0,0,0,1,32.37,2.73,2024-01-16T21:02:24+09:00
2024-01-01T00:24:30+09:00,24.52,19.8,56.2,7.12,749.93,0.76,7.54,381.05,23.59,6.91,8.63,4.19,7.38,526.37,2799.0,55.19,0,1,1,0,0,0,32.16,2.71,2024-01-16T17:26:54+09:00
2024-01-01T00:25:00+09:00,24.57,19.8,56.61,7.08,776.66,0.77,7.68,371.09,23.59,6.94,8.57,4.15,7.38,525.88,2834.41,54.74,0,0,1,1,1,0,32.32,2.73,2024-01-15T23:56:12+09:00
2024-01-01T00:25:30+09:00,24.58,19.89,56.15,7.06,782.01,0.8,7.52,363.32,23.64,6.96,8.58,4.09,7.37,531.46,2852.78,55.61,0,1,0,1,1,1,33.19,2.66,2024-01-15T17:42:18+09:00
2024-01-01T00:26:00+09:00,24.69,19.95,56.64,7.01,761.99,0.82,7.42,356.17,23.65,6.94,8.51,4.21,7.39,530.05,2807.83,54.99,0,0,0,0,0,1,33.14,2.65,2024-01-14T18:54:48+09:00
2024-01-01T00:26:30+09:00,24.59,19.95,57.13,6.99,777.28,0.86,7.3,361.78,23.61,6.92,8.54,4.26,7.41,532.75,2842.81,55.81,1,1,0,0,0,0,33.82,2.69,2024-01-13T23:28:54+09:00
2024-01-01T00:27:00+09:00,24.44,20.0,57.27,6.98,806.51,0.9,7.25,368.41,23.6,6.93,8.46,4.35,7.43,532.1,2872.45,56.7,0,0,1,0,1,0,33.13,2.74,2024-01-13T09:05:24+09:00
2024-01-01T00:27:30+09:00,24.49,20.04,57.62,7.01,789.38,0.89,7.06,376.68,23.56,6.91,8.49,4.43,7.41,525.3,2883.3,55.72,1,1,1,0,1,1,34.0,2.74,2024-01-12T17:44:18+09:00
2024-01-01T00:28:00+09:00,24.49,20.06,58.01,7.01,792.33,0.85,7.13,381.5,23.51,6.88,8.44,4.37,7.43,521.76,2878.45,55.42,1,0,1,1,1,0,33.5,2.77,2024-01-11T22:32:48+09:00
2024-01-01T00:28:30+09:00,24.6,20.12,57.68,6.98,781.44,0.89,6.98,387.27,23.53,6.88,8.52,4.17,7.47,520.46,2876.82,55.29,0,0,1,0,0,0,32.55,2.87,2024-01-12T20:38:06+09:00
2024-01-01T00:29:00+09:00,24.69,20.11,57.73,6.94,762.34,0.92,6.96,396.22,23.48,6.9,8.58,3.99,7.52,522.75,2886.46,55.43,0,1,1,0,1,0,33.2,2.88,2024-01-13T19:55:24+09:00
2024-01-01T00:29:30+09:00,24.69,20.2,57.9,6.92,759.36,0.9,6.97,390.0,23.49,6.91,8.62,4.08,7.54,530.83,2866.75,54.84,0,1,1,0,0,0,33.62,2.97,2024-01-14T02:53:30+09:00
2024-01-01T00:30:00+09:00,24.76,20.11,57.98,6.92,741.94,0.95,7.08,385.6,23.42,6.9,8.66,4.0,7.53,523.84,2821.74,54.98,1,1,0,0,0,1,32.89,3.07,2024-01-13T04:06:00+09:00
2024-01-01T00:30:30+09:00,24.8,20.1,57.91,6.96,771.84,0.93,6.95,392.02,23.5,6.87,8.59,3.91,7.56,526.16,2793.97,55.6,1,1,0,0,0,0,31.98,3.04,2024-01-14T01:28:06+09:00
2024-01-01T00:31:00+09:00,24.94,20.08,57.58,6.95,760.83,0.9,6.99,396.11,23.54,6.88,8.54,4.1,7.55,519.22,2806.06,55.39,1,0,0,0,1,0,32.7,2.96,2024-01-13T03:23:48+09:00
2024-01-01T00:31:30+09:00,24.89,20.14,57.89,6.99,764.34,0.88,6.96,395.07,23.57,6.87,8.55,3.92,7.56,516.78,2835.08,54.57,1,1,0,0,0,0,32.31,2.9,2024-01-12T15:09:54+09:00
2024-01-01T00:32:00+09:00,24.9,20.13,57.43,6.97,772.0,0.84,6.79,400.59,23.56,6.89,8.52,3.93,7.57,509.61,2795.76,54.96,0,0,1,1,0,1,33.03,2.87,2024-01-13T00:46:24+09:00
2024-01-01T00:32:30+09:00,24.97,20.18,57.34,6.98,794.97,0.82,6.67,391.37,23.65,6.86,8.51,4.08,7.55,512.22,2792.18,53.99,0,0,0,0,1,1,32.65,2.89,2024-01-12T13:01:18+09:00
2024-01-01T00:33:00+09:00,24.84,20.11,57.6,6.96,765.34,0.86,6.67,384.84,23.72,6.87,8.5,4.08,7.54,521.35,2803.08,53.97,0,1,1,0,1,0,33.3,2.93,2024-01-11T23:21:00+09:00
2024-01-01T00:33:30+09:00,24.74,20.15,57.53,7.0,738.78,0.87,6.69,379.24,23.81,6.87,8.49,4.18,7.5,520.45,2767.98,54.08,1,1,1,0,1,1,32.73,2.92,2024-01-11T04:23:54+09:00
2024-01-01T00:34:00+09:00,24.58,20.21,57.83,7.04,711.78,0.89,6.8,373.17,23.71,6.88,8.47,4.1,7.46,512.66,2767.4,53.1,0,0,0,1,0,0,33.23,2.99,2024-01-10T12:05:12+09:00
2024-01-01T00:34:30+09:00,24.46,20.15,57.93,6.99,725.16,0.89,6.81,367.67,23.75,6.9,8.43,4.17,7.51,518.08,2805.44,52.51,1,1,1,1,1,0,33.12,3.0,2024-01-11T07:03:18+09:00
2024-01-01T00:35:00+09:00,24.57,20.16,58.01,7.03,699.17,0.93,6.86,363.83,23.71,6.89,8.41,4.21,7.53,510.99,2844.08,51.98,0,1,1,1,1,1,33.85,2.97,2024-01-10T18:35:00+09:00
2024-01-01T00:35:30+09:00,24.74,20.18,58.24,6.98,710.8,0.95,6.67,361.75,23.76,6.91,8.48,4.38,7.54,515.84,2828.5,52.35,1,1,1,1,1,0,33.08,2.89,2024-01-11T06:49:54+09:00
2024-01-01T00:36:00+09:00,24.7,20.12,58.02,6.94,718.01,0.92,6.78,357.27,23.81,6.91,8.56,4.54,7.49,518.67,2781.3,51.72,1,0,0,1,1,0,33.88,2.94,2024-01-11T21:57:36+09:00
2024-01-01T00:36:30+09:00,24.8,20.02,57.96,6.95,707.17,0.95,6.67,355.15,23.82,6.93,8.53,4.51,7.47,515.88,2734.5,51.23,1,1,1,0,0,1,34.74,3.03,2024-01-11T08:17:18+09:00
2024-01-01T00:37:00+09:00,24.73,20.04,57.67,6.93,720.73,0.99,6.51,365.02,23.73,6.95,8.62,4.7,7.48,511.58,2724.03,51.23,1,0,0,1,1,0,35.49,3.13,2024-01-11T02:46:36+09:00
2024-01-01T00:37:30+09:00,24.65,20.05,57.99,6.95,750.66,0.96,6.35,358.67,23.83,6.94,8.54,4.59,7.47,512.46,2731.97,51.31,1,1,0,0,0,0,35.15,3.12,2024-01-10T19:35:06+09:00
2024-01-01T00:38:00+09:00,24.66,19.97,58.08,6.95,768.49,0.94,6.39,348.84,23.77,6.92,8.46,4.5,7.52,502.89,2729.31,50.38,0,1,0,0,0,1,34.98,3.2,2024-01-10T06:09:12+09:00
2024-01-01T00:38:30+09:00,24.71,20.07,58.02,7.0,769.3,0.97,6.37,358.38,23.82,6.9,8.43,4.54,7.54,507.36,2734.93,50.46,1,1,1,0,1,0,35.86,3.23,2024-01-10T14:33:42+09:00
2024-01-01T00:39:00+09:00,24.72,20.01,57.57,6.95,757.78,0.93,6.28,354.47,23.83,6.93,8.38,4.56,7.55,499.83,2731.67,49.98,0,1,0,0,1,0,35.44,3.2,2024-01-11T08:19:48+09:00
2024-01-01T00:39:30+09:00,24.86,20.05,57.7,6.97,735.59,0.97,6.35,353.45,23.79,6.94,8.29,4.41,7.6,491.44,2750.14,50.29,0,0,1,0,1,1,35.12,3.16,2024-01-11T08:34:42+09:00
2024-01-01T00:40:00+09:00,24.81,20.14,58.18,6.96,752.48,0.97,6.23,360.29,23.7,6.95,8.22,4.49,7.63,496.09,2775.96,49.57,1,0,0,1,1,0,36.12,3.25,2024-01-11T10:16:00+09:00
2024-01-01T00:40:30+09:00,24.7,20.14,57.74,6.94,752.75,0.96,6.13,350.89,23.78,6.92,8.24,4.65,7.58,505.21,2814.71,50.09,0,0,0,1,1,1,36.66,3.3,2024-01-10T22:45:18+09:00
2024-01-01T00:41:00+09:00,24.7,20.1,57.6,6.94,739.26,0.94,6.21,341.81,23.68,6.89,8.21,4.54,7.54,497.53,2839.96,49.97,1,0,0,0,1,0,36.26,3.33,2024-01-11T20:50:36+09:00
2024-01-01T00:41:30+09:00,24.81,20.07,57.83,6.91,714.64,0.9,6.25,335.28,23.75,6.87,8.26,4.56,7.53,504.23,2880.06,49.67,1,1,0,1,1,0,35.8,3.37,2024-01-11T13:39:06+09:00
2024-01-01T00:42:00+09:00,24.74,20.13,57.52,6.87,733.29,0.93,6.31,338.53,23.81,6.89,8.21,4.6,7.53,505.38,2905.44,49.36,1,0,1,1,1,0,35.26,3.39,2024-01-11T23:58:48+09:00
2024-01-01T00:42:30+09:00,24.55,20.05,57.28,6.88,745.41,0.96,6.39,329.86,23.76,6.88,8.13,4.63,7.52,506.32,2895.44,48.81,1,0,1,0,1,1,34.65,3.4,2024-01-12T21:20:54+09:00
2024-01-01T00:43:00+09:00,24.55,19.96,57.73,6.91,753.35,0.95,6.39,332.03,23.73,6.86,8.1,4.65,7.52,500.68,2904.67,49.14,0,0,1,0,0,0,35.55,3.4,2024-01-12T19:55:00+09:00
2024-01-01T00:43:30+09:00,24.57,20.0,57.79,6.93,772.47,0.95,6.29,327.14,23.64,6.88,8.11,4.63,7.51,501.47,2916.88,49.24,0,1,1,1,0,1,35.62,3.43,2024-01-12T00:29:06+09:00
2024-01-01T00:44:00+09:00,24.71,19.96,57.71,6.89,778.5,0.99,6.38,322.72,23.61,6.87,8.19,4.46,7.47,510.14,2895.51,49.65,1,0,1,1,1,0,36.13,3.38,2024-01-11T07:41:36+09:00
2024-01-01T00:44:30+09:00,24.73,19.9,57.84,6.9,797.57,0.95,6.26,322.87,23.65,6.85,8.29,4.43,7.47,504.12,2899.42,48.88,1,0,1,1,1,0,36.4,3.46,2024-01-10T14:54:06+09:00
2024-01-01T00:45:00+09:00,24.73,19.86,58.21,6.94,806.64,0.9,6.22,328.65,23.58,6.82,8.2,4.37,7.47,504.69,2936.01,48.79,1,0,1,0,1,1,36.23,3.48,2024-01-11T13:42:36+09:00
2024-01-01T00:45:30+09:00,24.54,19.84,58.29,6.93,823.77,0.94,6.08,319.62,23.61,6.85,8.26,4.27,7.49,511.67,2901.39,49.39,1,1,0,0,0,1,35.51,3.51,2024-01-10T21:38:18+09:00
2024-01-01T00:46:00+09:00,24.38,19.83,58.05,6.92,851.19,0.93,5.89,328.95,23.64,6.85,8.24,4.21,7.53,517.9,2869.63,49.26,1,0,1,1,0,1,36.49,3.6,2024-01-10T23:05:12+09:00
2024-01-01T00:46:30+09:00,24.24,19.83,58.26,6.88,869.14,0.91,5.87,326.69,23.67,6.87,8.15,4.01,7.52,518.64,2911.48,49.01,1,0,1,0,1,1,37.35,3.54,2024-01-10T12:03:18+09:00
2024-01-01T00:47:00+09:00,24.25,19.86,58.14,6.86,852.51,0.96,5.79,317.86,23.64,6.86,8.08,3.88,7.49,513.34,2940.3,49.15,0,1,1,1,1,0,36.72,3.49,2024-01-11T05:06:12+09:00
2024-01-01T00:47:30+09:00,24.27,19.79,58.19,6.85,875.44,0.95,5.79,317.73,23.66,6.88,8.06,3.85,7.54,505.6,2974.16,49.52,1,1,1,0,1,0,37.64,3.4,2024-01-10T15:11:30+09:00
2024-01-01T00:48:00+09:00,24.4,19.83,58.25,6.83,865.8,0.97,5.85,322.06,23.65,6.87,7.99,3.68,7.59,511.33,2998.55,48.57,1,0,1,0,0,1,38.15,3.33,2024-01-10T07:31:12+09:00
2024-01-01T00:48:30+09:00,24.42,19.82,58.3,6.88,849.78,0.94,5.74,321.0,23.57,6.89,8.0,3.49,7.6,518.33,2982.78,49.26,0,0,1,0,0,1,38.38,3.3,2024-01-10T13:31:42+09:00
2024-01-01T00:49:00+09:00,24.34,19.77,58.01,6.92,843.16,0.95,5.68,325.22,23.49,6.86,7.97,3.33,7.62,519.04,3018.13,48.69,1,1,1,0,0,0,38.34,3.28,2024-01-11T02:15:24+09:00
2024-01-01T00:49:30+09:00,24.2,19.75,57.98,6.88,850.28,0.91,5.73,322.46,23.43,6.87,8.0,3.3,7.61,512.66,3011.55,48.24,0,0,0,1,1,1,38.31,3.36,2024-01-10T22:39:54+09:00
2024-01-01T00:50:00+09:00,24.36,19.75,58.17,6.85,832.09,0.87,5.76,326.53,23.37,6.86,8.08,3.42,7.64,517.98,3001.97,48.76,1,0,0,0,0,1,39.24,3.33,2024-01-10T17:09:12+09:00
2024-01-01T00:50:30+09:00,24.31,19.83,58.04,6.83,839.73,0.88,5.93,328.54,23.47,6.85,8.16,3.34,7.65,527.42,3025.28,47.84,1,1,1,1,1,0,38.6,3.28,2024-01-10T04:55:18+09:00
2024-01-01T00:51:00+09:00,24.32,19.81,58.01,6.88,853.94,0.83,5.92,335.58,23.41,6.87,8.26,3.2,7.64,534.89,2989.82,48.39,0,0,1,0,1,0,39.34,3.18,2024-01-10T21:58:12+09:00
2024-01-01T00:51:30+09:00,24.41,19.78,57.58,6.84,828.66,0.84,5.78,331.83,23.41,6.89,8.3,3.06,7.62,525.35,2970.18,48.9,0,0,0,0,0,0,39.3,3.11,2024-01-10T18:22:42+09:00
2024-01-01T00:52:00+09:00,24.29,19.87,57.6,6.87,817.33,0.83,5.7,328.6,23.38,6.89,8.38,3.0,7.61,528.86,2945.37,47.98,1,1,0,1,0,0,40.1,3.21,2024-01-11T04:56:48+09:00
2024-01-01T00:52:30+09:00,24.25,19.87,58.08,6.86,824.81,0.83,5.66,326.51,23.34,6.88,8.37,2.95,7.59,530.51,2965.56,47.0,0,0,1,1,1,1,39.75,3.2,2024-01-10T06:52:30+09:00
2024-01-01T00:53:00+09:00,24.31,19.94,58.02,6.85,796.52,0.81,5.48,319.23,23.26,6.86,8.33,3.13,7.6,528.99,2919.69,47.47,1,1,0,0,0,1,39.11,3.12,2024-01-09T19:07:24+09:00
2024-01-01T00:53:30+09:00,24.5,20.01,57.72,6.81,806.41,0.86,5.67,323.21,23.32,6.87,8.36,3.03,7.62,519.02,2872.4,47.49,1,1,1,1,1,0,39.54,3.03,2024-01-08T20:48:42+09:00
2024-01-01T00:54:00+09:00,24.43,20.0,58.08,6.8,784.14,0.83,5.68,320.74,23.28,6.87,8.29,2.87,7.58,524.39,2873.43,46.57,0,0,0,0,0,1,40.11,3.01,2024-01-08T22:01:12+09:00
2024-01-01T00:54:30+09:00,24.29,20.02,57.65,6.77,770.22,0.83,5.49,321.6,23.37,6.89,8.27,2.68,7.59,525.83,2838.38,46.02,1,0,1,1,1,1,40.13,3.0,2024-01-09T03:47:18+09:00
2024-01-01T00:55:00+09:00,24.4,20.1,58.11,6.8,743.74,0.81,5.29,314.07,23.28,6.86,8.26,2.56,7.57,518.74,2827.65,46.99,1,1,1,1,0,1,39.71,3.05,2024-01-08T21:47:48+09:00
2024-01-01T00:55:30+09:00,24.55,20.04,58.22,6.76,718.73,0.77,5.28,312.29,23.37,6.88,8.25,2.41,7.59,524.92,2851.14,46.21,1,1,0,0,1,0,40.04,3.13,2024-01-09T18:55:30+09:00
2024-01-01T00:56:00+09:00,24.37,20.03,57.96,6.79,744.29,0.75,5.3,305.9,23.36,6.86,8.16,2.47,7.61,515.45,2801.76,46.95,0,1,0,0,0,0,40.29,3.12,2024-01-10T05:15:12+09:00
2024-01-01T00:56:30+09:00,24.43,20.01,58.07,6.79,737.15,0.74,5.18,308.09,23.46,6.86,8.07,2.53,7.57,505.48,2850.95,46.71,1,1,0,1,0,0,41.09,3.16,2024-01-10T10:32:30+09:00
2024-01-01T00:57:00+09:00,24.34,20.08,58.09,6.79,719.27,0.75,5.13,308.04,23.46,6.86,7.97,2.6,7.58,501.72,2885.56,46.08,1,0,0,1,0,0,40.68,3.11,2024-01-10T05:45:00+09:00
